Brand,Model,Derivative,Introduced,Discontinued,Package
VOLVO,XC60 ESTATE,2.0 T8 455 PHEV Ultra Black Ed 5dr AWD Geartroni,2023-12-11,,
VOLVO,XC60 ESTATE,2.0 T8 PHEV Ultra Bright 5dr AWD Geartroni,2023-12-11,,455
VOLVO,XC90 ESTATE,2.0 B5P Ultra Dark 5dr AWD Geartronic,2024-02-28,,250
VOLVO,XC90 ESTATE,2.0 T8 PHEV Core Bright 5dr AWD Geartronic,2024-02-28,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Plus Dark 5dr AWD Geartronic,2024-02-28,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Ultra Dark 5dr AWD Geartronic,2024-02-28,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Ultra Bright 5dr AWD Geartronic,2024-02-28,,
VOLVO,XC40 ESTATE,2.0 B3P Ultra Bright 5dr Auto,2024-02-07,,
VOLVO,XC40 ESTATE,2.0 B4P Ultra Bright 5dr Auto,2024-02-07,,
VOLVO,XC40 ESTATE,2.0 B3P Ultra Dark 5dr Auto,2024-02-07,,
VOLVO,XC40 ESTATE,2.0 B4P Ultra Dark 5dr Auto,2024-02-07,,
VOLKSWAGEN,TAIGO HATCHBACK SPECIAL EDITIONS,1.0 TSI 110 Match 5dr,2024-01-30,2024-08-12,
VOLKSWAGEN,TAIGO HATCHBACK SPECIAL EDITIONS,1.0 TSI 110 Match 5dr DSG,2024-01-30,2024-08-12,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Essential Pro 58kWh 5dr Auto,2024-01-30,2024-06-27,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro 58kWh 5dr Auto,2024-01-30,2024-06-27,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro 58kWh 5dr Auto,2024-01-30,2024-04-25,Comfort/Exterior
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro 58kWh 5dr Auto,2024-01-30,2024-04-25,Exterior Plus
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro 58kWh 5dr Auto,2024-01-30,2024-06-27,Comfort
VOLKSWAGEN,ID.3 HATCHBACK,150kW Essential Pro S 77kWh 5dr Auto,2024-01-30,2024-05-17,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro S 77kWh 5dr Auto,2024-01-30,2024-04-25,Interior Plus
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro S 77kWh 5dr Auto Interior+/Ext+,2024-01-30,2024-04-25,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro S 77kWh 5dr Auto,2024-01-30,2024-05-17,
VOLKSWAGEN,ID.3 HATCHBACK,150kW Match Pro S 77kWh 5dr Auto,2024-01-30,2024-04-25,Exterior Plus
VOLKSWAGEN,ID.5 COUPE,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,
VOLKSWAGEN,T-ROC HATCHBACK SPECIAL EDITIONS,1.0 TSI 115 Match 5dr,2024-02-29,,
VOLKSWAGEN,GOLF ESTATE,1.5 TSI Life 5dr,2024-04-11,,
VOLKSWAGEN,GOLF ESTATE,1.5 eTSI Life 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF ESTATE,1.5 TSI 150 life 5dr,2024-04-11,,
VOLKSWAGEN,GOLF ESTATE,1.5 eTSI 150 Life 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF ESTATE,1.5 TSI 150 Style 5dr,2024-04-11,,
VOLKSWAGEN,GOLF ESTATE,1.5 eTSI 150 Style 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI Life 5dr,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI 150 Life 5dr,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 eTSI 150 Life 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI Match 5dr,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI 150 Match 5dr,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 eTSI 150 Match 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 eTSI Style 5dr DSG,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI 150 Style 5dr,2024-04-11,,
VOLKSWAGEN,GOLF HATCHBACK,1.5 eTSI 150 Style 5dr DSG,2024-04-11,,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 TSI eHybrid Match 5dr DSG,2024-04-04,,
VOLKSWAGEN,TIGUAN ALLSPACE DIESEL ESTATE,2.0 TDI 193 4Motion R-Line 5dr DSG,2024-04-25,2024-08-14,
VOLKSWAGEN,POLO HATCHBACK,1.0 TSI 115 R-Line 5dr DSG,2024-01-04,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI Life 5dr DSG,2024-01-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI Elegance 5dr DSG,2024-01-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI R-Line 5dr DSG,2024-01-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI eHybrid Life 5dr DSG,2024-04-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI eHybrid Elegance 5dr DSG,2024-04-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI eHybrid 272 Elegance 5dr DSG,2024-04-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI eHybrid R-Line 5dr DSG,2024-04-25,,
VOLKSWAGEN,PASSAT ESTATE,1.5 TSI eHybrid 272 R-Line 5dr DSG,2024-04-25,,
VOLKSWAGEN,T-CROSS ESTATE SPECIAL EDITIONS,1.0 TSI Match 5dr,2024-01-30,,
VOLKSWAGEN,T-CROSS ESTATE SPECIAL EDITIONS,1.0 TSI 115 Match 5dr,2024-01-30,,
VOLKSWAGEN,T-CROSS ESTATE SPECIAL EDITIONS,1.0 TSI 115 Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,POLO HATCHBACK SPECIAL EDITION,1.0 TSI Match 5dr,2024-01-30,,
VOLKSWAGEN,POLO HATCHBACK SPECIAL EDITION,1.0 TSI Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,T-ROC HATCHBACK SPECIAL EDITIONS,1.0 TSI Match 5dr,2024-01-30,,
VOLKSWAGEN,T-ROC HATCHBACK SPECIAL EDITIONS,1.5 TSI Match 5dr,2024-01-30,,
VOLKSWAGEN,T-ROC HATCHBACK SPECIAL EDITIONS,1.5 TSI Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,TOURAN ESTATE SPECIAL EDITION,1.5 TSI EVO Match 5dr,2024-01-30,,
VOLKSWAGEN,TOURAN ESTATE SPECIAL EDITION,1.5 TSI EVO Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 eTSI 130 Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 eTSI 150 Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,2.0 TDI 150 Match 5dr DSG,2024-01-30,,
VOLKSWAGEN,ID.7 HATCHBACK,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,
VOLKSWAGEN,ID.7 HATCHBACK,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,Interior+ Pack
VOLKSWAGEN,ID.7 HATCHBACK,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,Exterior+ Pan
VOLKSWAGEN,ID.7 HATCHBACK,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,Int+/Ext+ Pan
VOLKSWAGEN,ID.4 ESTATE,125kW Match Pure 52kWh 5dr Auto,2024-01-30,,
VOLKSWAGEN,ID.4 ESTATE,210kW Match Pro 77kWh 5dr Auto,2024-01-30,,
VOLKSWAGEN,ID.4 ESTATE,210kW 4MOTION Match Pro 77kWh 5dr Auto,2024-01-30,,
VOLKSWAGEN,TAIGO HATCHBACK SPECIAL EDITIONS,1.0 TSI Match 5dr,2024-01-30,,
VOLKSWAGEN,TAIGO HATCHBACK SPECIAL EDITIONS,1.0 TSI 115 Match 5dr,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK SPECIAL EDITIONS,1.0 TSI 115 Match 5dr DSG,2024-02-15,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 TSI eHybrid Life 5dr DSG,2024-04-04,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 TSI eHybrid Elegance 5dr DSG,2024-04-04,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 TSI eHybrid R-Line 5dr DSG,2024-04-04,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 TSI 272 eHybrid R-Line 5dr DSG,2024-04-04,,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 eTSI 150 Life Launch Edition 5dr DSG,2024-01-11,2024-01-12,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 eTSI 150 Elegance Launch Edition 5dr DSG,2024-01-11,2024-01-12,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,1.5 eTSI 150 R-Line Launch Edition 5dr DSG,2024-01-11,2024-01-12,
VOLKSWAGEN,TIGUAN ESTATE SPECIAL EDITION,2.0 TDI R-Line Launch Edition 5dr DSG,2024-01-11,2024-01-12,
VOLKSWAGEN,T-ROC HATCHBACK,1.0 TSI 115 Life 5dr,2024-02-29,,
VOLKSWAGEN,T-ROC HATCHBACK,1.0 TSI 115 Style 5dr,2024-02-22,,
VOLKSWAGEN,T-ROC CABRIOLET,1.0 TSI 115 Style 2dr,2024-01-26,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 Life 5dr,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 Style 5dr,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 R-Line 5dr,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 Life 5dr DSG,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 Style 5dr DSG,2024-02-15,,
VOLKSWAGEN,TAIGO HATCHBACK,1.0 TSI 115 R-Line 5dr DSG,2024-02-15,,
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI Life 5dr DSG,2024-01-11,,
